record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
282998;;;23.05;14.5;3.93;;;1;NEOLITHIC;-3500;-2100;Calderdale,Yorkshire del Oeste;14704;51.8
282964;;;41.5;17.64;3.72;;;1;NEOLITHIC;-3500;-2100;Calderdale,Yorkshire del Oeste;14704;51.8
282954;;;48.57;24.86;6.3;;;1;NEOLITHIC;-3500;-2100;Calderdale,Yorkshire del Oeste;14704;51.8
282950;;;35.88;35.91;5.28;;;1;NEOLITHIC;-2500;-2100;Calderdale,Yorkshire del Oeste;14704;66.2
282946;;;35.87;24.86;6.3;;;1;NEOLITHIC;-2500;-2100;Calderdale,Yorkshire del Oeste;14704;46.4
282850;;;22.8;16.1;3.5;;1.12;1;NEOLITHIC;-3500;-2900;York,Yorkshire;6160;73.4
276637;Bullet-headed;;39.15;11.08;;11.08;5.37;1;MEDIEVAL;1066;1500;Wiltshire,Wiltshire;7406;77
275553;Leaf shaped;;34.9;21.3;3.7;;2.91;1;NEOLITHIC;-3500;-2900;Aylesbury Vale,Buckinghamshire;13823;71.6
275286;Leaf-shaped;Type 4B/C (Green 1980, figs 28-29);41.88;19.82;4.14;;;1;NEOLITHIC;-3500;-2500;North Lincolnshire,Lincolnshire;10663;57.2
275273;;;32.1;18.6;4.9;;2.14;1;NEOLITHIC;-3500;-2900;Doncaster,Yorkshire del Sur;5731;46.4
275180;;;45.6;26.2;6.1;;5.98;1;NEOLITHIC;-3500;-2100;Isle of Wight,Isle of Wight;7100;77
274703;leaf-shaped;;21.72;15.69;2.52;;;1;NEOLITHIC;-3500;-2900;West Lindsey,Lincolnshire;11059;73.4
